Sigla;Nome;Tipo;Impacto;ISSN
ABNT;Astra, Belo Noturno e Transformer;C;100,12; 
OFA;O Fusca Azul;P;100,89;1997-7991
CPC;Corola do Professor de Calculo;P;1,0;0123-3210
RAAAA;Revista Astrologica para Autênticos Astrônomos Americanos;P;5,001;2345-5432
CMC;Conferencia de Musicos Classicos;C;40,109;
FLA;Ferrari Ladeira Abaixo;C;20,0;
FGTS;Fiat a Gás Tunado e Selvagem; C;20,666;
Ceasa;Carros especiais alternativos e super arbitrários;P;1,012;0012-2100
ENEM;Etruturas Nipônicas Estudadas por Militares;C;50,008;
Nasa;Núcleo Aéreo Secreto Alemão; C;20,689;
Lamborghini; Leis Aleatorias Marxistas Bem Orientadas e Radicalmente Geradas Hoje, Inspiradas No Inevitavel; C; 30,1;
TA; Tardigrados Amigaveis;P;5;4648-4648
BOM; Batidão Ostracista Maquiavélico; P; 80,1;5555-5556
VEI; Velhos Estudantes de Informatica; P;1,2;5656-6665
CEVAP;Centro de Estudos de Venenos e Animais Peçonhentos; C; 1,3;
SVAQCA;Sim o Veiculo Acima Quebra A Coerencia Do Arquivo. ;C ; 1,5 ;
PFI;Pulp Fiction da Informática;P;1,0;0000-9999
TRANSCOL; Ah mano, vou nem comentar para não me estressar.; P; 0,1;7777-6547
IKKI; Ou Ygor de Fenix, cavaleiro de bronze;C;2,345
IRMIMRI;Ilha da Rainda da Morte da Ilha da Morte da Rainha da Ilha;C;20,987;
